number,generation,index_within_generation,parent,r_coord,theta_coord,weight
1920,5,255,9081,1.95,110.625,0.01
1921,4,497,8082,19.47,90.0,0.01
1922,7,310,7992,7.63,93.91304347826087,0.01
1923,4,498,8082,19.47,91.07142857142857,0.01
1924,7,311,8172,13.950000000000001,88.75,0.01
1925,6,304,8262,2.43,91.5,0.01
1926,3,118,8352,34.89,95.625,0.01
1927,8,374,8442,1.47,102.5,0.01
1928,3,119,8532,24.27,116.25,0.01
1929,6,305,8622,0.51,135.0,0.01
1930,4,499,9171,1.71,107.14285714285714,0.01
1931,7,312,8172,13.950000000000001,90.0,0.01
1932,4,500,8082,19.47,92.14285714285714,0.01
1933,7,313,7992,7.63,95.8695652173913,0.01
1934,4,501,8082,19.47,93.21428571428571,0.01
1935,7,314,8172,13.950000000000001,91.25,0.01
1936,6,306,8262,2.43,93.0,0.01
1937,3,120,8352,34.89,97.5,0.01
1938,8,375,8442,1.47,105.0,0.01
1939,3,121,8532,24.27,120.0,0.01
1940,4,502,9261,1.47,110.0,0.01
1941,6,307,8262,2.43,94.5,0.01
1942,7,315,8172,13.950000000000001,92.5,0.01
1943,4,503,8082,19.47,94.28571428571429,0.01
1944,7,316,7992,7.63,97.82608695652173,0.01
1945,4,504,8082,19.47,95.35714285714286,0.01
1946,7,317,8172,13.950000000000001,93.75,0.01
1947,6,308,8262,2.43,96.0,0.01
1948,3,122,8352,34.89,99.375,0.01
1949,8,376,8442,1.47,107.5,0.01
1950,8,377,9351,1.23,114.0,0.01
1951,3,123,8352,34.89,101.25,0.01
1952,6,309,8262,2.43,97.5,0.01
1953,7,318,8172,13.950000000000001,95.0,0.01
1954,4,505,8082,19.47,96.42857142857143,0.01
1955,7,319,7992,7.63,99.78260869565217,0.01
1956,4,506,8082,19.47,97.5,0.01
1957,7,320,8172,13.950000000000001,96.25,0.01
1958,6,310,8262,2.43,99.0,0.01
1959,3,124,8352,34.89,103.125,0.01
1960,8,378,9441,0.99,120.0,0.01
1961,8,379,8442,1.47,110.0,0.01
1962,3,125,8352,34.89,105.0,0.01
1963,6,311,8262,2.43,100.5,0.01
1964,7,321,8172,13.950000000000001,97.5,0.01
1965,4,507,8082,19.47,98.57142857142857,0.01
1966,7,322,7992,7.63,101.73913043478261,0.01
1967,4,508,8082,19.47,99.64285714285714,0.01
1968,7,323,8172,13.950000000000001,98.75,0.01
1969,6,312,8262,2.43,102.0,0.01
1970,8,380,9531,0.75,130.0,0.01
1971,3,126,8532,24.27,123.75,0.01
1972,8,381,8442,1.47,112.5,0.01
1973,3,127,8352,34.89,106.875,0.01
1974,6,313,8262,2.43,103.5,0.01
1975,7,324,8172,13.950000000000001,100.0,0.01
1976,4,509,8082,19.47,100.71428571428571,0.01
1977,7,325,7992,7.63,103.69565217391305,0.01
1978,4,510,8082,19.47,101.78571428571429,0.01
1979,7,326,8172,13.950000000000001,101.25,0.01
1980,4,511,9621,3.33,150.0,0.01
1981,6,314,8622,0.51,142.5,0.01
1982,3,128,8532,24.27,127.5,0.01
1983,8,382,8442,1.47,115.0,0.01
1984,3,129,8352,34.89,108.75,0.01
1985,6,315,8262,2.43,105.0,0.01
1986,7,327,8172,13.950000000000001,102.5,0.01
1987,4,512,8082,19.47,102.85714285714286,0.01
1988,7,328,7992,7.63,105.65217391304348,0.01
1989,4,513,8082,19.47,103.92857142857143,0.01
1990,4,514,9711,0.27,165.0,0.01
1991,7,329,8712,0.15,150.0,0.01
1992,6,316,8622,0.51,150.0,0.01
1993,3,130,8532,24.27,131.25,0.01
1994,8,383,8442,1.47,117.5,0.01
1995,3,131,8352,34.89,110.625,0.01
1996,6,317,8262,2.43,106.5,0.01
1997,7,330,8172,13.950000000000001,103.75,0.01
1999,7,331,7992,7.63,107.6086956521739,0.01
2000,5,256,1998,14.35,45.0,0.01
2001,4,516,2088,1.95,45.0,0.01
2002,7,332,2178,0.51,45.0,0.01
2003,6,318,3177,1.71,45.0,0.01
2004,3,132,4176,36.99,45.0,0.01
2005,8,384,5175,3.63,48.0,0.01
2006,2,61,6174,99.92,56.25,0.01
2007,6,319,7173,13.47,72.0,0.01
2008,7,333,8172,13.950000000000001,105.0,0.01
2009,4,517,9171,1.71,109.28571428571429,0.01
2010,4,518,2088,1.95,46.875,0.01
2011,5,257,1998,14.35,47.25,0.01
2012,4,519,2088,1.95,48.75,0.01
2013,4,520,3087,23.91,41.785714285714285,0.01
2014,8,385,4086,4.3500000000000005,42.5,0.01
2015,8,386,5085,4.83,47.25,0.01
2016,8,387,6084,4.83,56.25,0.01
2017,4,521,7083,4.3500000000000005,72.5,0.01
2018,4,522,8082,19.47,106.07142857142857,0.01
2019,5,258,9081,1.95,112.5,0.01
2020,7,334,2178,0.51,52.5,0.01
2021,4,523,2088,1.95,50.625,0.01
2022,5,259,1998,14.35,49.5,0.01
2023,7,335,2997,2.27,41.785714285714285,0.01
2024,5,260,3996,24.51,43.63636363636363,0.01
2025,7,336,4995,2.83,48.857142857142854,0.01
2026,7,337,5994,7.79,58.23529411764706,0.01
2027,5,261,6993,2.43,75.0,0.01
2028,7,338,7992,7.63,109.56521739130434,0.01
2029,5,262,8991,1.79,117.6923076923077,0.01
2030,6,320,3177,1.71,47.142857142857146,0.01
2031,4,524,3087,23.91,42.857142857142854,0.01
2032,7,339,2997,2.27,43.392857142857146,0.01
2033,4,525,3087,23.91,43.92857142857143,0.01
2034,8,388,4086,4.3500000000000005,43.333333333333336,0.01
2035,8,389,5085,4.83,48.0,0.01
2036,8,390,6084,4.83,57.0,0.01
2037,4,526,7083,4.3500000000000005,73.33333333333333,0.01
2038,4,527,8082,19.47,107.14285714285714,0.01
2039,5,263,9081,1.95,114.375,0.01
2040,3,133,4176,36.99,46.25,0.01
2041,8,391,4086,4.3500000000000005,44.166666666666664,0.01
2042,5,264,3996,24.51,45.0,0.01
2043,8,392,4086,4.3500000000000005,45.0,0.01
2044,3,134,4176,36.99,47.5,0.01
2045,8,393,5175,3.63,49.0,0.01
2046,2,62,6174,99.92,57.1875,0.01
2047,6,321,7173,13.47,73.0,0.01
2048,7,340,8172,13.950000000000001,106.25,0.01
2049,4,528,9171,1.71,111.42857142857143,0.01
2050,8,394,5175,3.63,50.0,0.01
2051,8,395,5085,4.83,48.75,0.01
2052,7,341,4995,2.83,50.142857142857146,0.01
2053,8,396,5085,4.83,49.5,0.01
2054,8,397,5175,3.63,51.0,0.01
2055,6,322,5265,5.91,54.0,0.01
2056,4,529,6264,29.79,60.0,0.01
2057,7,342,7263,2.91,75.0,0.01
2058,6,323,8262,2.43,108.0,0.01
2059,4,530,9261,1.47,112.5,0.01
2060,2,63,6174,99.92,58.125,0.01
2061,8,398,6084,4.83,57.75,0.01
2062,7,343,5994,7.79,59.55882352941177,0.01
2063,8,399,6084,4.83,58.5,0.01
2064,2,64,6174,99.92,59.0625,0.01
2065,4,531,6264,29.79,61.25,0.01
2066,5,265,6354,19.95,67.5,0.01
2067,4,532,7353,2.19,80.0,0.01
2068,3,135,8352,34.89,112.5,0.01
2069,8,400,9351,1.23,117.0,0.01
2070,6,324,7173,13.47,74.0,0.01
2071,4,533,7083,4.3500000000000005,74.16666666666667,0.01
2072,5,266,6993,2.43,76.5,0.01
2073,4,534,7083,4.3500000000000005,75.0,0.01
2074,6,325,7173,13.47,75.0,0.01
2075,7,344,7263,2.91,76.25,0.01
2076,4,535,7353,2.19,81.66666666666667,0.01
2077,6,326,7443,15.99,90.0,0.01
2078,8,401,8442,1.47,120.0,0.01
2079,8,402,9441,0.99,123.75,0.01
2080,7,345,8172,13.950000000000001,107.5,0.01
2081,4,536,8082,19.47,108.21428571428571,0.01
2082,7,346,7992,7.63,111.52173913043478,0.01
2083,4,537,8082,19.47,109.28571428571429,0.01
2084,7,347,8172,13.950000000000001,108.75,0.01
2085,6,327,8262,2.43,109.5,0.01
2086,3,136,8352,34.89,114.375,0.01
2087,8,403,8442,1.47,122.5,0.01
2089,8,404,9531,0.75,135.0,0.01
2090,4,538,9171,1.71,113.57142857142857,0.01
2091,5,267,9081,1.95,116.25,0.01
2092,5,268,8991,1.79,121.15384615384616,0.01
2093,5,269,9081,1.95,118.125,0.01
2094,4,539,9171,1.71,115.71428571428571,0.01
2095,4,540,9261,1.47,115.0,0.01
2096,8,405,9351,1.23,120.0,0.01
2097,8,406,9441,0.99,127.5,0.01
2098,8,407,9531,0.75,140.0,0.01
2099,4,541,9621,3.33,157.5,0.01
2100,4,542,2088,1.95,52.5,0.01
2101,5,270,1998,14.35,51.75,0.01
2102,4,543,2088,1.95,54.375,0.01
2103,4,544,3087,23.91,45.0,0.01
2104,8,408,4086,4.3500000000000005,45.833333333333336,0.01
2105,8,409,5085,4.83,50.25,0.01
2106,8,410,6084,4.83,59.25,0.01
2107,4,545,7083,4.3500000000000005,75.83333333333333,0.01
2108,4,546,8082,19.47,110.35714285714286,0.01
2109,5,271,9081,1.95,120.0,0.01
2110,5,272,1998,14.35,54.0,0.01
2111,6,328,999,0.75,60.0,0.01
2112,5,273,1089,0.87,60.0,0.01
2113,4,547,2088,1.95,56.25,0.01
2114,4,548,3087,23.91,46.07142857142857,0.01
2115,8,411,4086,4.3500000000000005,46.666666666666664,0.01
2116,8,412,5085,4.83,51.0,0.01
2117,8,413,6084,4.83,60.0,0.01
2118,4,549,7083,4.3500000000000005,76.66666666666667,0.01
2119,4,550,8082,19.47,111.42857142857143,0.01
2120,4,551,2088,1.95,58.125,0.01
2121,5,274,1089,0.87,66.66666666666667,0.01
2122,6,329,999,0.75,65.0,0.01
2123,5,275,1998,14.35,56.25,0.01
2124,7,348,2997,2.27,45.0,0.01
2125,5,276,3996,24.51,46.36363636363637,0.01
2126,7,349,4995,2.83,51.42857142857143,0.01
2127,7,350,5994,7.79,60.88235294117647,0.01
2128,5,277,6993,2.43,78.0,0.01
2129,7,351,7992,7.63,113.47826086956522,0.01
2130,4,552,3087,23.91,47.142857142857146,0.01
2131,4,553,2088,1.95,60.0,0.01
2132,5,278,1998,14.35,58.5,0.01
2133,4,554,2088,1.95,61.875,0.01
2134,4,555,3087,23.91,48.214285714285715,0.01
2135,8,414,4086,4.3500000000000005,47.5,0.01
2136,8,415,5085,4.83,51.75,0.01
2137,8,416,6084,4.83,60.75,0.01
2138,4,556,7083,4.3500000000000005,77.5,0.01
2139,4,557,8082,19.47,112.5,0.01
2140,8,417,4086,4.3500000000000005,48.333333333333336,0.01
2141,4,558,3087,23.91,49.285714285714285,0.01
2142,7,352,2997,2.27,46.607142857142854,0.01
2143,4,559,3087,23.91,50.357142857142854,0.01
2144,6,330,3177,1.71,49.285714285714285,0.01
2145,3,138,4176,36.99,48.75,0.01
2146,8,418,5175,3.63,52.0,0.01
2147,2,65,6174,99.92,60.0,0.01
2148,6,331,7173,13.47,76.0,0.01
2149,7,353,8172,13.950000000000001,110.0,0.01
2150,8,419,5085,4.83,52.5,0.01
2151,8,420,4086,4.3500000000000005,49.166666666666664,0.01
2152,5,279,3996,24.51,47.72727272727273,0.01
2153,8,421,4086,4.3500000000000005,50.0,0.01
2154,3,139,4176,36.99,50.0,0.01
2155,4,560,4266,1.47,52.5,0.01
2156,6,332,5265,5.91,55.5,0.01
2157,4,561,6264,29.79,62.5,0.01
2158,7,354,7263,2.91,77.5,0.01
2159,6,333,8262,2.43,111.0,0.01
2160,8,422,6084,4.83,61.5,0.01
2161,8,423,5085,4.83,53.25,0.01
2162,7,355,4995,2.83,52.714285714285715,0.01
2163,8,424,5085,4.83,54.0,0.01
2164,8,425,5175,3.63,53.0,0.01
2165,6,334,5265,5.91,57.0,0.01
2166,6,335,5355,11.790000000000001,63.0,0.01
2167,5,280,6354,19.95,69.375,0.01
2168,4,562,7353,2.19,83.33333333333333,0.01
2169,3,140,8352,34.89,116.25,0.01
2170,4,563,7083,4.3500000000000005,78.33333333333333,0.01
2171,8,426,6084,4.83,62.25,0.01
2172,7,356,5994,7.79,62.205882352941174,0.01
2173,8,427,6084,4.83,63.0,0.01
2174,2,66,6174,99.92,60.9375,0.01
2175,4,564,6264,29.79,63.75,0.01
2176,5,281,6354,19.95,71.25,0.01
2177,6,336,6444,0.99,78.75,0.01
2179,8,428,8442,1.47,125.0,0.01
2180,4,565,8082,19.47,113.57142857142857,0.01
2181,4,566,7083,4.3500000000000005,79.16666666666667,0.01
2182,5,282,6993,2.43,79.5,0.01
2183,4,567,7083,4.3500000000000005,80.0,0.01
2184,6,338,7173,13.47,77.0,0.01
2185,7,357,7263,2.91,78.75,0.01
2186,4,568,7353,2.19,85.0,0.01
2187,6,339,7443,15.99,95.0,0.01
2188,4,569,7533,0.75,105.0,0.01
2189,3,141,8532,24.27,138.75,0.01
2190,5,283,9081,1.95,121.875,0.01
2191,4,570,8082,19.47,114.64285714285714,0.01
2192,7,358,7992,7.63,115.43478260869566,0.01
2193,4,571,8082,19.47,115.71428571428571,0.01
2194,7,359,8172,13.950000000000001,111.25,0.01
2195,6,340,8262,2.43,112.5,0.01
2196,3,142,8352,34.89,118.125,0.01
2197,8,429,8442,1.47,127.5,0.01
2198,3,143,8532,24.27,142.5,0.01
2199,6,341,8622,0.51,157.5,0.01
2200,7,360,2178,0.51,60.0,0.01
2201,4,572,2088,1.95,63.75,0.01
2202,5,284,1998,14.35,60.75,0.01
2203,7,361,2997,2.27,48.214285714285715,0.01
2204,5,285,3996,24.51,49.09090909090909,0.01
2205,7,362,4995,2.83,54.0,0.01
2206,7,363,5994,7.79,63.529411764705884,0.01
2207,5,286,6993,2.43,81.0,0.01
2208,7,364,7992,7.63,117.3913043478261,0.01
2209,5,287,8991,1.79,124.61538461538461,0.01
2210,4,573,2088,1.95,65.625,0.01
2211,5,288,1089,0.87,73.33333333333333,0.01
2212,6,342,999,0.75,70.0,0.01
2213,5,289,1998,14.35,63.0,0.01
2214,7,365,2997,2.27,49.82142857142857,0.01
2215,5,290,3996,24.51,50.45454545454545,0.01
2216,7,366,4995,2.83,55.285714285714285,0.01
2217,7,367,5994,7.79,64.8529411764706,0.01
2218,5,291,6993,2.43,82.5,0.01
2219,7,368,7992,7.63,119.34782608695652,0.01
2220,5,292,1998,14.35,65.25,0.01
2221,6,343,999,0.75,75.0,0.01
2222,2,67,0,0.12,72.0,0.01
2223,6,344,999,0.75,80.0,0.01
2224,5,293,1998,14.35,67.5,0.01
2225,7,369,2997,2.27,51.42857142857143,0.01
2226,5,294,3996,24.51,51.81818181818182,0.01
2227,7,370,4995,2.83,56.57142857142857,0.01
2228,7,371,5994,7.79,66.17647058823529,0.01
2229,5,295,6993,2.43,84.0,0.01
2230,7,372,2997,2.27,53.035714285714285,0.01
2231,5,296,1998,14.35,69.75,0.01
2232,6,345,999,0.75,85.0,0.01
2233,5,297,1089,0.87,80.0,0.01
2234,4,574,2088,1.95,67.5,0.01
2235,4,575,3087,23.91,51.42857142857143,0.01
2236,8,430,4086,4.3500000000000005,50.833333333333336,0.01
2237,8,431,5085,4.83,54.75,0.01
2238,8,432,6084,4.83,63.75,0.01
2239,4,576,7083,4.3500000000000005,80.83333333333333,0.01
2240,5,298,3996,24.51,53.18181818181818,0.01
2241,7,373,2997,2.27,54.642857142857146,0.01
2242,5,299,1998,14.35,72.0,0.01
2243,4,577,2088,1.95,69.375,0.01
2244,7,374,2178,0.51,67.5,0.01
2245,6,346,3177,1.71,51.42857142857143,0.01
2246,3,144,4176,36.99,51.25,0.01
2247,8,433,5175,3.63,54.0,0.01
2248,2,68,6174,99.92,61.875,0.01
2249,6,347,7173,13.47,78.0,0.01
2250,7,375,4995,2.83,57.857142857142854,0.01
2251,5,300,3996,24.51,54.54545454545455,0.01
2252,7,376,2997,2.27,56.25,0.01
2253,4,578,3087,23.91,52.5,0.01
2254,6,348,3177,1.71,53.57142857142857,0.01
2255,7,377,3267,0.45,51.42857142857143,0.01
2256,4,579,4266,1.47,55.0,0.01
2257,6,349,5265,5.91,58.5,0.01
2258,4,580,6264,29.79,65.0,0.01
2259,7,378,7263,2.91,80.0,0.01
2260,7,379,5994,7.79,67.5,0.01
2261,7,380,4995,2.83,59.142857142857146,0.01
2262,5,301,3996,24.51,55.90909090909091,0.01
2263,8,434,4086,4.3500000000000005,51.666666666666664,0.01
2264,3,145,4176,36.99,52.5,0.01
2265,4,581,4266,1.47,57.5,0.01
2266,5,302,4356,0.39,60.0,0.01
2267,6,350,5355,11.790000000000001,66.0,0.01
2268,5,303,6354,19.95,73.125,0.01
2269,4,582,7353,2.19,86.66666666666667,0.01
2270,5,304,6993,2.43,85.5,0.01
2271,7,381,5994,7.79,68.82352941176471,0.01
2272,7,382,4995,2.83,60.42857142857143,0.01
2273,8,435,5085,4.83,55.5,0.01
2274,8,436,5175,3.63,55.0,0.01
2275,6,351,5265,5.91,60.0,0.01
2276,6,352,5355,11.790000000000001,69.0,0.01
2277,6,353,5445,0.33,72.0,0.01
2278,6,354,6444,0.99,82.5,0.01
2279,6,355,7443,15.99,97.5,0.01
2280,7,383,7992,7.63,121.30434782608695,0.01
2281,5,305,6993,2.43,87.0,0.01
2282,7,384,5994,7.79,70.1470588235294,0.01
2283,8,437,6084,4.83,64.5,0.01
2284,2,69,6174,99.92,62.8125,0.01
2285,4,583,6264,29.79,66.25,0.01
2286,5,306,6354,19.95,75.0,0.01
2287,6,356,6444,0.99,86.25,0.01
2288,5,307,6534,0.27,90.0,0.01
2289,4,584,7533,0.75,110.0,0.01
2290,5,308,8991,1.79,128.07692307692307,0.01
2291,7,385,7992,7.63,123.26086956521739,0.01
2292,5,309,6993,2.43,88.5,0.01
2293,4,585,7083,4.3500000000000005,81.66666666666667,0.01
2294,6,357,7173,13.47,79.0,0.01
2295,7,386,7263,2.91,81.25,0.01
2296,4,586,7353,2.19,88.33333333333333,0.01
2297,6,358,7443,15.99,100.0,0.01
2298,4,587,7533,0.75,115.0,0.01
2299,7,387,7623,0.21,120.0,0.01
2300,6,359,3177,1.71,55.714285714285715,0.01
2301,4,588,3087,23.91,53.57142857142857,0.01
2302,7,388,2997,2.27,57.857142857142854,0.01
2303,4,589,3087,23.91,54.642857142857146,0.01
2304,8,438,4086,4.3500000000000005,52.5,0.01
2305,8,439,5085,4.83,56.25,0.01
2306,8,440,6084,4.83,65.25,0.01
2307,4,590,7083,4.3500000000000005,82.5,0.01
2308,4,591,8082,19.47,116.78571428571429,0.01
2309,5,310,9081,1.95,123.75,0.01
2310,4,592,3087,23.91,55.714285714285715,0.01
2311,4,593,2088,1.95,71.25,0.01
2312,5,311,1998,14.35,74.25,0.01
2313,4,594,2088,1.95,73.125,0.01
2314,4,595,3087,23.91,56.785714285714285,0.01
2315,8,441,4086,4.3500000000000005,53.333333333333336,0.01
2316,8,442,5085,4.83,57.0,0.01
2317,8,443,6084,4.83,66.0,0.01
2318,4,596,7083,4.3500000000000005,83.33333333333333,0.01
2319,4,597,8082,19.47,117.85714285714286,0.01
2320,7,389,2997,2.27,59.464285714285715,0.01
2321,5,312,1998,14.35,76.5,0.01
2322,6,360,999,0.75,90.0,0.01
2323,5,313,1089,0.87,86.66666666666667,0.01
2324,4,598,2088,1.95,75.0,0.01
2325,4,599,3087,23.91,57.857142857142854,0.01
2326,8,444,4086,4.3500000000000005,54.166666666666664,0.01
2327,8,445,5085,4.83,57.75,0.01
2328,8,446,6084,4.83,66.75,0.01
2329,4,600,7083,4.3500000000000005,84.16666666666667,0.01
2330,4,601,3087,23.91,58.92857142857143,0.01
2331,4,602,2088,1.95,76.875,0.01
2332,5,314,1089,0.87,93.33333333333333,0.01
2333,6,361,999,0.75,95.0,0.01
2334,5,315,1998,14.35,78.75,0.01
2335,7,390,2997,2.27,61.07142857142857,0.01
2336,5,316,3996,24.51,57.27272727272727,0.01
2337,7,391,4995,2.83,61.714285714285715,0.01
2338,7,392,5994,7.79,71.47058823529412,0.01
2339,5,317,6993,2.43,90.0,0.01
2340,8,447,4086,4.3500000000000005,55.0,0.01
2341,4,603,3087,23.91,60.0,0.01
2342,4,604,2088,1.95,78.75,0.01
2343,5,318,1998,14.35,81.0,0.01
2344,4,605,2088,1.95,80.625,0.01
2345,4,606,3087,23.91,61.07142857142857,0.01
2346,8,448,4086,4.3500000000000005,55.833333333333336,0.01
2347,8,449,5085,4.83,58.5,0.01
2348,8,450,6084,4.83,67.5,0.01
2349,4,607,7083,4.3500000000000005,85.0,0.01
2350,8,451,5085,4.83,59.25,0.01
2351,8,452,4086,4.3500000000000005,56.666666666666664,0.01
2352,4,608,3087,23.91,62.142857142857146,0.01
2353,7,393,2997,2.27,62.67857142857143,0.01
2354,4,609,3087,23.91,63.214285714285715,0.01
2355,6,362,3177,1.71,57.857142857142854,0.01
2356,3,146,4176,36.99,53.75,0.01
2357,8,453,5175,3.63,56.0,0.01
2358,2,70,6174,99.92,63.75,0.01
2359,6,363,7173,13.47,80.0,0.01
2360,8,454,6084,4.83,68.25,0.01
2361,8,455,5085,4.83,60.0,0.01
2362,8,456,4086,4.3500000000000005,57.5,0.01
2363,5,319,3996,24.51,58.63636363636363,0.01
2364,8,457,4086,4.3500000000000005,58.333333333333336,0.01
2365,3,147,4176,36.99,55.0,0.01
2366,4,610,4266,1.47,60.0,0.01
2367,6,364,5265,5.91,61.5,0.01
2368,4,611,6264,29.79,67.5,0.01
2369,7,394,7263,2.91,82.5,0.01
2370,4,612,7083,4.3500000000000005,85.83333333333333,0.01
2371,8,458,6084,4.83,69.0,0.01
2372,8,459,5085,4.83,60.75,0.01
2373,7,395,4995,2.83,63.0,0.01
2374,8,460,5085,4.83,61.5,0.01
2375,8,461,5175,3.63,57.0,0.01
2376,6,365,5265,5.91,63.0,0.01
2377,6,366,5355,11.790000000000001,72.0,0.01
2378,5,320,6354,19.95,76.875,0.01
2379,4,613,7353,2.19,90.0,0.01
2380,4,614,8082,19.47,118.92857142857143,0.01
2381,4,615,7083,4.3500000000000005,86.66666666666667,0.01
2382,8,462,6084,4.83,69.75,0.01
2383,7,396,5994,7.79,72.79411764705883,0.01
2384,8,463,6084,4.83,70.5,0.01
2385,2,71,6174,99.92,64.6875,0.01
2386,4,616,6264,29.79,68.75,0.01
2387,5,321,6354,19.95,78.75,0.01
2388,6,367,6444,0.99,90.0,0.01
2389,6,368,7443,15.99,102.5,0.01
2390,5,322,9081,1.95,125.625,0.01
2391,4,617,8082,19.47,120.0,0.01
2392,4,618,7083,4.3500000000000005,87.5,0.01
2393,5,323,6993,2.43,91.5,0.01
2394,4,619,7083,4.3500000000000005,88.33333333333333,0.01
2395,6,369,7173,13.47,81.0,0.01
2396,7,397,7263,2.91,83.75,0.01
2397,4,620,7353,2.19,91.66666666666667,0.01
2398,6,370,7443,15.99,105.0,0.01
2399,4,621,7533,0.75,120.0,0.01
2400,3,148,4176,36.99,56.25,0.01
2401,8,464,4086,4.3500000000000005,59.166666666666664,0.01
2402,5,324,3996,24.51,60.0,0.01
2403,8,465,4086,4.3500000000000005,60.0,0.01
2404,3,149,4176,36.99,57.5,0.01
2405,8,466,5175,3.63,58.0,0.01
2406,2,72,6174,99.92,65.625,0.01
2407,6,371,7173,13.47,82.0,0.01
2408,7,398,8172,13.950000000000001,112.5,0.01
2409,4,622,9171,1.71,117.85714285714286,0.01
2410,8,467,4086,4.3500000000000005,60.833333333333336,0.01
2411,4,623,3087,23.91,64.28571428571429,0.01
2412,7,399,2997,2.27,64.28571428571429,0.01
2413,4,624,3087,23.91,65.35714285714286,0.01
2414,6,372,3177,1.71,60.0,0.01
2415,3,150,4176,36.99,58.75,0.01
2416,8,468,5175,3.63,59.0,0.01
2417,2,73,6174,99.92,66.5625,0.01
2418,6,373,7173,13.47,83.0,0.01
2419,7,400,8172,13.950000000000001,113.75,0.01
2420,5,325,3996,24.51,61.36363636363637,0.01
2421,7,401,2997,2.27,65.89285714285714,0.01
2422,5,326,1998,14.35,83.25,0.01
2423,4,625,2088,1.95,82.5,0.01
2424,7,402,2178,0.51,75.0,0.01
2425,6,374,3177,1.71,62.142857142857146,0.01
2426,3,151,4176,36.99,60.0,0.01
2427,8,469,5175,3.63,60.0,0.01
2428,2,74,6174,99.92,67.5,0.01
2429,6,375,7173,13.47,84.0,0.01
2430,8,470,4086,4.3500000000000005,61.666666666666664,0.01
2431,4,626,3087,23.91,66.42857142857143,0.01
2432,4,627,2088,1.95,84.375,0.01
2433,5,327,1998,14.35,85.5,0.01
2434,4,628,2088,1.95,86.25,0.01
2435,4,629,3087,23.91,67.5,0.01
2436,8,471,4086,4.3500000000000005,62.5,0.01
2437,8,472,5085,4.83,62.25,0.01
2438,8,473,6084,4.83,71.25,0.01
2439,4,630,7083,4.3500000000000005,89.16666666666667,0.01
2440,3,152,4176,36.99,61.25,0.01
2441,6,376,3177,1.71,64.28571428571429,0.01
2442,7,403,2178,0.51,82.5,0.01
2443,4,631,2088,1.95,88.125,0.01
2444,5,328,1998,14.35,87.75,0.01
2445,7,404,2997,2.27,67.5,0.01
2446,5,329,3996,24.51,62.72727272727273,0.01
2447,7,405,4995,2.83,64.28571428571429,0.01
2448,7,406,5994,7.79,74.11764705882354,0.01
2449,5,330,6993,2.43,93.0,0.01
2450,8,474,5175,3.63,61.0,0.01
2451,3,153,4176,36.99,62.5,0.01
2452,6,377,3177,1.71,66.42857142857143,0.01
2453,4,632,3087,23.91,68.57142857142857,0.01
2454,7,407,2997,2.27,69.10714285714286,0.01
2455,4,633,3087,23.91,69.64285714285714,0.01
2456,8,475,4086,4.3500000000000005,63.333333333333336,0.01
2457,8,476,5085,4.83,63.0,0.01
2458,8,477,6084,4.83,72.0,0.01
2459,4,634,7083,4.3500000000000005,90.0,0.01
2460,2,75,6174,99.92,68.4375,0.01
2461,8,478,5175,3.63,62.0,0.01
2462,3,154,4176,36.99,63.75,0.01
2463,8,479,4086,4.3500000000000005,64.16666666666667,0.01
2464,5,331,3996,24.51,64.0909090909091,0.01
2465,8,480,4086,4.3500000000000005,65.0,0.01
2466,3,155,4176,36.99,65.0,0.01
2467,8,481,5175,3.63,63.0,0.01
2468,2,76,6174,99.92,69.375,0.01
2469,6,378,7173,13.47,85.0,0.01
2470,6,379,7173,13.47,86.0,0.01
2471,2,77,6174,99.92,70.3125,0.01
2472,8,482,5175,3.63,64.0,0.01
2473,8,483,5085,4.83,63.75,0.01
2474,7,408,4995,2.83,65.57142857142857,0.01
2475,8,484,5085,4.83,64.5,0.01
2476,8,485,5175,3.63,65.0,0.01
2477,6,380,5265,5.91,64.5,0.01
2478,4,635,6264,29.79,70.0,0.01
2479,7,409,7263,2.91,85.0,0.01
2480,7,410,8172,13.950000000000001,115.0,0.01
2481,6,381,7173,13.47,87.0,0.01
2482,2,78,6174,99.92,71.25,0.01
2483,8,486,6084,4.83,72.75,0.01
2484,7,411,5994,7.79,75.44117647058823,0.01
2485,8,487,6084,4.83,73.5,0.01
2486,2,79,6174,99.92,72.1875,0.01
2487,4,636,6264,29.79,71.25,0.01
2488,5,332,6354,19.95,80.625,0.01
2489,4,637,7353,2.19,93.33333333333333,0.01
2490,4,638,9171,1.71,120.0,0.01
2491,7,412,8172,13.950000000000001,116.25,0.01
2492,6,382,7173,13.47,88.0,0.01
2493,4,639,7083,4.3500000000000005,90.83333333333333,0.01
2494,5,333,6993,2.43,94.5,0.01
2495,4,640,7083,4.3500000000000005,91.66666666666667,0.01
2496,6,383,7173,13.47,89.0,0.01
2497,7,413,7263,2.91,86.25,0.01
2498,4,641,7353,2.19,95.0,0.01
2499,6,384,7443,15.99,107.5,0.01
2500,8,488,5175,3.63,66.0,0.01
2501,8,489,5085,4.83,65.25,0.01
2502,7,414,4995,2.83,66.85714285714286,0.01
2503,8,490,5085,4.83,66.0,0.01
2504,8,491,5175,3.63,67.0,0.01
2505,6,385,5265,5.91,66.0,0.01
2506,4,642,6264,29.79,72.5,0.01
2507,7,415,7263,2.91,87.5,0.01
